type,module,functionBoundaryOwner,line,column,snippet
onclick,08-map-parent-settings.js,openFinalResetConfirmation,1712,37,"$('[data-reset-confirm]',root).onclick=confirm;$('[data-reset-cancel]',root).onclick=()=>openParentTools(inGame);input.onkeydown=e=>{if(e.key==='Enter'){e.preventDefault();confirm();}};setTimeout(()=>input.focus(),80);"
onclick,08-map-parent-settings.js,openFinalResetConfirmation,1712,83,"$('[data-reset-confirm]',root).onclick=confirm;$('[data-reset-cancel]',root).onclick=()=>openParentTools(inGame);input.onkeydown=e=>{if(e.key==='Enter'){e.preventDefault();confirm();}};setTimeout(()=>input.focus(),80);"
addEventListener,08-map-parent-settings.js,formatPlayTime,1735,39,"$('[data-save-guardian]',root)?.addEventListener('click',async e=>{const btn=e.currentTarget;draft.sessionLimitMinutes=Math.max(0,Number(limit?.value||0));draft.multiplayerEnabled=true;draft.communicationEnabled=true;draft.chatEnabled=true;btn.disabled=true;btn.textContent='Salvando...';const saveGuardian=window.OTTHOS_RTDB?.saveGuardianSettings;const result=saveGuardian?await saveGuardian(draft):{ok:false,error:'Firebase ainda não está pronto.'};if(result?.ok===false||result===false){btn.disabled=false;btn.textContent='Salvar limite de tempo';toast(result?.error||'Não foi possível salvar. Confirme a senha novamente.','warn',3000);return;}const saved=result?.settings||result;state.guardian={...draft,...saved,updatedAt:Date.now()};saveState(true);window.OTTHOS_RTDB?.connect?.({name:publicPlayerName()});toast('Limite de tempo salvo. Multiplayer e interações permanecem liberados.','good',2600);openParentTools(inGame);});"
onclick,08-map-parent-settings.js,formatPlayTime,1736,56,"$$('[data-unblock-player]',root).forEach(btn=>btn.onclick=async()=>{const result=await window.OTTHOS_RTDB?.unblockPlayer?.(btn.dataset.unblockPlayer);if(result?.ok===false||result===false){toast(result?.error||'Não foi possível desbloquear.','warn');return;}toast('Jogador desbloqueado.','good');openParentTools(inGame);});"
addEventListener,08-map-parent-settings.js,formatPlayTime,1737,44,"$('[data-parent-new-session]',root)?.addEventListener('click',()=>{state.usage={totalSeconds:0,sessionSeconds:0,sessionStartedAt:0,lastPlayedAt:0,sessionLockedAt:0,...(state.usage||{}),sessionSeconds:0,sessionStartedAt:Date.now(),sessionLockedAt:0};saveState(true);toast('Nova sessão liberada pelo responsável.','good',2400);openParentTools(inGame);});"
onclick,08-map-parent-settings.js,formatPlayTime,1738,37,"$('[data-parent-export]',root).onclick=()=>window.OTTHOS_DB?.exportFile(state);"
onclick,08-map-parent-settings.js,formatPlayTime,1739,89,"const fileInput=$('[data-parent-import-file]',root);$('[data-parent-import]',root).onclick=()=>fileInput.click();"
onchange,08-map-parent-settings.js,formatPlayTime,1740,16,"fileInput.onchange=async()=>{const file=fileInput.files?.[0];if(!file)return;try{const imported=normalizeState(await window.OTTHOS_DB.importFile(file));if(!(await confirmModal('Importar backup','O progresso atual deste aparelho será substituído pelo arquivo escolhido. Continuar?','Importar','Cancelar')))return;state=imported;await window.OTTHOS_DB.save(state);safeLocalSet(STORAGE_KEY,JSON.stringify(state));location.reload();}catch(error){toast(error.message||'Backup inválido.','bad');}};"
onclick,08-map-parent-settings.js,formatPlayTime,1741,36,"$('[data-parent-reset]',root).onclick=()=>openFinalResetConfirmation(inGame);$('[data-parent-back]',root).onclick=()=>openSettings(inGame);"
onclick,08-map-parent-settings.js,formatPlayTime,1741,112,"$('[data-parent-reset]',root).onclick=()=>openFinalResetConfirmation(inGame);$('[data-parent-back]',root).onclick=()=>openSettings(inGame);"
onclick,08-map-parent-settings.js,openParentGate,1748,39,"$('[data-parent-unlock]',root).onclick=unlock;$('[data-parent-cancel]',root).onclick=()=>openSettings(inGame);input.onkeydown=e=>{if(e.key==='Enter'){e.preventDefault();unlock();}};setTimeout(()=>input.focus(),80);"
onclick,08-map-parent-settings.js,openParentGate,1748,85,"$('[data-parent-unlock]',root).onclick=unlock;$('[data-parent-cancel]',root).onclick=()=>openSettings(inGame);input.onkeydown=e=>{if(e.key==='Enter'){e.preventDefault();unlock();}};setTimeout(()=>input.focus(),80);"
onclick,08-map-parent-settings.js,openParentGate,1752,861,"openModal('Acesso de responsável',`<div class=""parent-gate""><span>🛡️</span><h3>Peça ajuda a um adulto</h3><p>Sem uma conta vinculada, esta verificação libera apenas progresso e backup local. Para controles online protegidos por senha, vincule a conta. Responda:</p><label class=""field""><span>Quanto é ${a} × ${b}?</span><input data-parent-answer inputmode=""numeric"" pattern=""[0-9]*"" maxlength=""3"" autocomplete=""off""></label><p data-parent-gate-error class=""account-error"" hidden>Resposta incorreta.</p><button class=""btn primary xl"" data-parent-unlock>Continuar</button><button class=""btn"" data-parent-cancel>Cancelar</button></div>`,root=>{const input=$('[data-parent-answer]',root),unlock=()=>{if(Number(input.value)!==answer){$('[data-parent-gate-error]',root).hidden=false;input.select();return;}openParentTools(inGame);};$('[data-parent-unlock]',root).onclick=unlock;$('[data-parent-cancel]',root).onclick=()=>openSettings(inGame);input.onkeydown=e=>{if(e.key==='Enter'){e.preventDefault();unloc"
onclick,08-map-parent-settings.js,openParentGate,1752,907,"openModal('Acesso de responsável',`<div class=""parent-gate""><span>🛡️</span><h3>Peça ajuda a um adulto</h3><p>Sem uma conta vinculada, esta verificação libera apenas progresso e backup local. Para controles online protegidos por senha, vincule a conta. Responda:</p><label class=""field""><span>Quanto é ${a} × ${b}?</span><input data-parent-answer inputmode=""numeric"" pattern=""[0-9]*"" maxlength=""3"" autocomplete=""off""></label><p data-parent-gate-error class=""account-error"" hidden>Resposta incorreta.</p><button class=""btn primary xl"" data-parent-unlock>Continuar</button><button class=""btn"" data-parent-cancel>Cancelar</button></div>`,root=>{const input=$('[data-parent-answer]',root),unlock=()=>{if(Number(input.value)!==answer){$('[data-parent-gate-error]',root).hidden=false;input.select();return;}openParentTools(inGame);};$('[data-parent-unlock]',root).onclick=unlock;$('[data-parent-cancel]',root).onclick=()=>openSettings(inGame);input.onkeydown=e=>{if(e.key==='Enter'){e.preventDefault();unloc"
addEventListener,08-map-parent-settings.js,openSettings,1774,46,"$('[data-player-name-settings]',root)?.addEventListener('click',()=>openPlayerNameModal(false,()=>openSettings(inGame)));$('[data-account-settings]',root)?.addEventListener('click',()=>openAccountCenter(false));$('[data-multiplayer-config]',root)?.addEventListener('click',openMultiplayerConfig);"
addEventListener,08-map-parent-settings.js,openSettings,1774,163,"$('[data-player-name-settings]',root)?.addEventListener('click',()=>openPlayerNameModal(false,()=>openSettings(inGame)));$('[data-account-settings]',root)?.addEventListener('click',()=>openAccountCenter(false));$('[data-multiplayer-config]',root)?.addEventListener('click',openMultiplayerConfig);"
addEventListener,08-map-parent-settings.js,openSettings,1774,255,"$('[data-player-name-settings]',root)?.addEventListener('click',()=>openPlayerNameModal(false,()=>openSettings(inGame)));$('[data-account-settings]',root)?.addEventListener('click',()=>openAccountCenter(false));$('[data-multiplayer-config]',root)?.addEventListener('click',openMultiplayerConfig);"
onclick,08-map-parent-settings.js,openSettings,1775,51,"$$('[data-toggle]', root).forEach(btn => btn.onclick = () => {"
onclick,08-map-parent-settings.js,openSettings,1781,32,"$('[data-save-now]',root).onclick=async()=>{ if(running) savePlayerPosition(true); else await commitState(); toast('Progresso salvo no celular.','good'); closeModal(); };"
onclick,08-map-parent-settings.js,openSettings,1782,64,"const install=$('[data-install]',root);if(install)install.onclick=installApp;"
onclick,08-map-parent-settings.js,openSettings,1783,58,"const home = $('[data-home]', root); if (home) home.onclick = () => { closeModal(); returnHome(); };"
onclick,08-map-parent-settings.js,openSettings,1784,58,"const exit = $('[data-exit]', root); if (exit) exit.onclick = () => { closeModal(); stopGame(); };"
onclick,08-map-parent-settings.js,openSettings,1785,35,"$('[data-parent-area]',root).onclick=()=>openParentGate(inGame);"
onclick,08-map-parent-settings.js,openSettings,1790,14,els.quizBtn.onclick = () => openEducationHub('math');
onclick,08-map-parent-settings.js,openSettings,1791,28,els.challengePromptAccept.onclick=()=>{if(promptSocialRequestId)acceptIncomingSocialRequest(promptSocialRequestId);else if(promptChallengeId)acceptIncomingChallenge(promptChallengeId);else if(promptSessionId){const s=gameSessions.get(promptSessionId);if(s)launchSessionWithCountdown(s);}};
onclick,08-map-parent-settings.js,openSettings,1792,29,els.challengePromptDecline.onclick=()=>{if(promptSocialRequestId)declineIncomingSocialRequest(promptSocialRequestId);else if(promptChallengeId)declineIncomingChallenge(promptChallengeId);else closeChallengePrompt();};
onclick,08-map-parent-settings.js,openSettings,1793,20,els.collectionBtn.onclick = openCollection;
onclick,08-map-parent-settings.js,openSettings,1794,16,els.avatarBtn.onclick = openAvatarStudio;
onclick,08-map-parent-settings.js,openSettings,1795,17,els.accountBtn.onclick = () => openAccountCenter(false);
onclick,08-map-parent-settings.js,openSettings,1796,15,els.moldsBtn.onclick = openMolds;
onclick,08-map-parent-settings.js,openSettings,1797,13,els.howBtn.onclick = openHow;
onclick,08-map-parent-settings.js,openSettings,1798,18,els.settingsBtn.onclick = () => openSettings(false);els.multiplayerBadge.onclick=openSocialHub;els.profileNameBtn.onclick=()=>openPlayerNameModal(false);
onclick,08-map-parent-settings.js,openSettings,1798,75,els.settingsBtn.onclick = () => openSettings(false);els.multiplayerBadge.onclick=openSocialHub;els.profileNameBtn.onclick=()=>openPlayerNameModal(false);
onclick,08-map-parent-settings.js,openSettings,1798,116,els.settingsBtn.onclick = () => openSettings(false);els.multiplayerBadge.onclick=openSocialHub;els.profileNameBtn.onclick=()=>openPlayerNameModal(false);
onclick,08-map-parent-settings.js,openSettings,1799,20,els.avatarGameBtn.onclick = openLifePanel;
onclick,08-map-parent-settings.js,openSettings,1800,19,els.inventoryBtn.onclick = openInventory;
onclick,08-map-parent-settings.js,openSettings,1801,15,els.toolsBtn.onclick = openToolbelt;
onclick,08-map-parent-settings.js,openSettings,1802,13,els.mapBtn.onclick = openMap;
onclick,08-map-parent-settings.js,openSettings,1803,15,els.dailyBtn.onclick = () => openEducationHub('math');
onclick,08-map-parent-settings.js,openSettings,1804,16,els.onlineBtn.onclick = openSocialHub;
onclick,08-map-parent-settings.js,openSettings,1805,22,els.gameSettingsBtn.onclick = () => openSettings(true);
onclick,09-responsive-ar-quality-diagnostics.js,syncMobilePanels,1815,21,els.quickToggleBtn.onclick = () => { state.ui.quickOpen = !state.ui.quickOpen;if(state.ui.quickOpen)state.ui.skillsOpen=false;syncMobilePanels();saveState(); };
onclick,09-responsive-ar-quality-diagnostics.js,syncMobilePanels,1816,22,els.skillsToggleBtn.onclick=()=>{state.ui.skillsOpen=!state.ui.skillsOpen;if(state.ui.skillsOpen)state.ui.quickOpen=false;syncMobilePanels();saveState();};
onclick,09-responsive-ar-quality-diagnostics.js,syncMobilePanels,1817,21,"els.needsToggleBtn.onclick = () => { state.ui.needsOpen = !state.ui.needsOpen; els.game.classList.toggle('needs-expanded', state.ui.needsOpen); saveState(); };"
onclick,09-responsive-ar-quality-diagnostics.js,syncMobilePanels,1819,18,els.missionCard.onclick = toggleMission;
addEventListener,09-responsive-ar-quality-diagnostics.js,syncMobilePanels,1821,144,"[els.avatarGameBtn,els.inventoryBtn,els.buildBtn,els.toolsBtn,els.mapBtn,els.dailyBtn,els.onlineBtn,els.gameSettingsBtn].forEach(btn => btn?.addEventListener('click', () => { state.ui.quickOpen=false; els.quickBar.hidden=true; els.quickToggleBtn.classList.remove('active'); }));"
addEventListener,09-responsive-ar-quality-diagnostics.js,syncMobilePanels,1839,30,"els.nativeViewer.addEventListener('load', done, {once:true});"
addEventListener,09-responsive-ar-quality-diagnostics.js,syncMobilePanels,1840,30,"els.nativeViewer.addEventListener('error', fail, {once:true});"
onclick,09-responsive-ar-quality-diagnostics.js,openAndroidSceneViewer,1881,43,"if (els.viewerLoadBtn) els.viewerLoadBtn.onclick = () => ensureModelViewerReady().catch(() => toast('Visualizador 3D indisponível agora.','warn',2400));"
addEventListener,09-responsive-ar-quality-diagnostics.js,openAndroidSceneViewer,1882,40,"if (els.insideArBtn) els.insideArBtn.addEventListener('click', event => {"
onclick,09-responsive-ar-quality-diagnostics.js,openAndroidSceneViewer,1888,12,els.arBtn.onclick = async () => {
onclick,09-responsive-ar-quality-diagnostics.js,ensureTechnicalPanel,2066,1509,"if(technicalPanel)return technicalPanel;const style=document.createElement('style');style.id='otthosTechnicalPanelStyle';style.textContent='.otthos-tech-panel{position:fixed;z-index:100000;right:max(8px,env(safe-area-inset-right));top:max(8px,env(safe-area-inset-top));width:min(330px,calc(100vw - 16px));max-height:calc(100vh - 16px);overflow:auto;padding:12px;border:1px solid rgba(116,220,255,.65);border-radius:14px;background:rgba(4,13,25,.94);color:#eaf8ff;font:700 12px/1.45 ui-monospace,SFMono-Regular,Consolas,monospace;box-shadow:0 16px 45px rgba(0,0,0,.45);backdrop-filter:blur(10px)}.otthos-tech-panel[hidden]{display:none!important}.otthos-tech-panel header{display:flex;align-items:center;justify-content:space-between;gap:8px;margin-bottom:8px}.otthos-tech-panel h2{font:900 14px/1.2 system-ui,sans-serif;margin:0}.otthos-tech-panel button{border:0;border-radius:8px;background:#dff7ff;color:#082032;padding:5px 9px;font-weight:900}.otthos-tech-panel pre{white-space:pre-wrap;word-brea"
addEventListener,09-responsive-ar-quality-diagnostics.js,initTechnicalPanel,2071,12,"window.addEventListener('keydown',event=>{if(event.code==='F3'){event.preventDefault();toggleTechnicalPanel();}});"
addEventListener,09-responsive-ar-quality-diagnostics.js,initTechnicalPanel,2072,44,"document.querySelector('.brand-card')?.addEventListener('pointerup',()=>{technicalPanelTapCount++;clearTimeout(technicalPanelTapTimer);technicalPanelTapTimer=setTimeout(()=>technicalPanelTapCount=0,1400);if(technicalPanelTapCount>=5){technicalPanelTapCount=0;toggleTechnicalPanel();}});"
onclick,15-transit-bus-metro.js,openMetroStation,3154,255,"openModal(station.name,`<div class=""transit-heading""><b>Ⓜ️ ${station.line}</b><span>Escolha qualquer ponto conhecido do mapa.</span></div><div class=""metro-destination-list"">${groups}</div>`,root=>{$$('[data-metro-destination]',root).forEach(btn=>btn.onclick=()=>{const destination=MAP_LOCATIONS.find(x=>x.id===btn.dataset.metroDestination);if(destination)rideMetroTo(station,destination);});});"
onclick,15-transit-bus-metro.js,openBusArrivalOffer,3212,37,"$('[data-arrival-board]',root).onclick=()=>{clearBusWaiting(false);closeModal();enterBus(bus);};"
onclick,15-transit-bus-metro.js,openBusArrivalOffer,3213,36,"$('[data-arrival-wait]',root).onclick=()=>{setBusWaiting(stop.id,world.waitingForBus?.routeId||'');closeModal();toast(`Você continua esperando na parada ${stop.name}.`,'good',1500);};"
onclick,15-transit-bus-metro.js,openBusArrivalOffer,3214,38,"$('[data-arrival-cancel]',root).onclick=()=>{clearBusWaiting();closeModal();toast('Espera cancelada.','good',1200);};"
addEventListener,15-transit-bus-metro.js,openBusStop,3229,37,"$('[data-board-ready]',root)?.addEventListener('click',()=>{closeModal();openBusArrivalOffer(ready,stop);});"
onclick,15-transit-bus-metro.js,openBusStop,3230,52,"$$('[data-wait-route]',root).forEach(btn=>btn.onclick=()=>{const route=BUS_ROUTES.find(r=>r.id===btn.dataset.waitRoute);setBusWaiting(stop.id,btn.dataset.waitRoute);closeModal();toast(`Esperando a linha ${route?.number||''} ${route?.name||''}.`,'good',2100);});"
onclick,15-transit-bus-metro.js,openBusStop,3231,32,"$('[data-wait-any]',root).onclick=()=>{setBusWaiting(stop.id,'');closeModal();toast(`Esperando o próximo ônibus em ${stop.name}.`,'good',2100);};"
addEventListener,15-transit-bus-metro.js,openBusStop,3232,35,"$('[data-keep-wait]',root)?.addEventListener('click',()=>{setBusWaiting(stop.id,waiting?.routeId||'');closeModal();toast('Você continua esperando.','good',1200);});"
onclick,15-transit-bus-metro.js,openBusStop,3233,35,"$('[data-cancel-wait]',root).onclick=()=>{clearBusWaiting();closeModal();toast('Espera cancelada.','good',1200);};"
onclick,15-transit-bus-metro.js,ensureTransitPanel,3237,463,"if(transitPanel)return transitPanel;transitPanel=document.createElement('div');transitPanel.id='transitActivityPanel';transitPanel.className='transit-activity-panel';transitPanel.hidden=true;transitPanel.innerHTML='<div><b data-bus-line>Ônibus</b><span data-bus-next>Próxima parada</span></div><button type=""button"" data-bus-request>🔔<span>Pedir parada</span></button>';document.body.appendChild(transitPanel);transitPanel.querySelector('[data-bus-request]').onclick=()=>{if(player.transit.mode!=='bus')return;player.transit.requestStop=true;updateTransitPanel();toast('Parada solicitada.','good',1200);};return transitPanel;"
onclick,16-emergency-services.js,openSafetyLesson,3432,61,"$$('[data-safety-answer]',root).forEach(button=>button.onclick=()=>{const correct=Number(button.dataset.safetyAnswer)===lesson.correct;state.safety.lessons=(state.safety.lessons||0)+1;if(correct){addXP(18);addReputation(3);awardMedal('Direção Segura');}saveState(true);closeModal();toast(correct?'Boa escolha! Segurança vem primeiro.':'Vamos lembrar: reduza, observe e cuide de todos.',correct?'good':'warn',2600);});"
onclick,16-emergency-services.js,openTransitGuide,3493,830,"openModal('Rede de transporte',`<div class=""transport-summary""><article><b>${state.transport.metroTrips||0}</b><span>viagens de metrô</span></article><article><b>${state.transport.busTrips||0}</b><span>viagens de ônibus</span></article><article><b>${state.transport.busStops.length}</b><span>paradas visitadas</span></article></div><h3>Estações de metrô</h3><div class=""transit-directory"">${METRO_STATIONS.map(s=>`<button data-transit-waypoint=""metro-${s.id}""><b>Ⓜ️ ${s.name}</b><span>${s.line}</span></button>`).join('')}</div><h3>Linhas de ônibus</h3><div class=""transit-directory"">${BUS_ROUTES.map(r=>`<article><b>🚌 ${r.number} • ${r.name}</b><span>${[...new Set(r.points.filter(p=>p.stopName).map(p=>p.stopName))].join(' → ')}</span></article>`).join('')}</div>`,root=>{$$('[data-transit-waypoint]',root).forEach(btn=>btn.onclick=()=>setWaypoint(btn.dataset.transitWaypoint));});"
onclick,17-adventures-learning-world.js,openAdventureHub,3527,736,"const active=world.activeChallenge,completed=new Set(state.adventures.completed||[]);openModal('Desafios da cidade',`${active?`<div class=""active-adventure""><b>${ADVENTURE_DEFS[active.type]?.icon} Em andamento: ${ADVENTURE_DEFS[active.type]?.name}</b><span>${active.progress.size}/${active.target}</span></div>`:''}<div class=""adventure-grid"">${Object.entries(ADVENTURE_DEFS).map(([id,d])=>`<button class=""adventure-card ${completed.has(id)?'completed':''}"" data-adventure=""${id}"" ${active?'disabled':''}><span>${d.icon}</span><b>${d.name}</b><small>${d.description}</small><em>${completed.has(id)?'✓ Concluído':`${d.reward} moedas • ${d.xp} XP`}</em></button>`).join('')}</div>`,root=>{$$('[data-adventure]',root).forEach(btn=>btn.onclick=()=>startAdventure(btn.dataset.adventure));});"
onclick,18-water-fishing-boats.js,ensureBoatPanel,3671,384,"if(boatPanel)return boatPanel;boatPanel=document.createElement('div');boatPanel.id='boatActivityPanel';boatPanel.className='boat-activity-panel';boatPanel.innerHTML='<button type=""button"" data-boat-fish>🎣<span>Pescar</span></button><button type=""button"" data-boat-exit>🏝️<span>Sair</span></button>';document.body.appendChild(boatPanel);boatPanel.querySelector('[data-boat-fish]').onclick=()=>startFishing('boat');boatPanel.querySelector('[data-boat-exit]').onclick=()=>exitBoat();return boatPanel;"
onclick,18-water-fishing-boats.js,ensureBoatPanel,3671,461,"if(boatPanel)return boatPanel;boatPanel=document.createElement('div');boatPanel.id='boatActivityPanel';boatPanel.className='boat-activity-panel';boatPanel.innerHTML='<button type=""button"" data-boat-fish>🎣<span>Pescar</span></button><button type=""button"" data-boat-exit>🏝️<span>Sair</span></button>';document.body.appendChild(boatPanel);boatPanel.querySelector('[data-boat-fish]').onclick=()=>startFishing('boat');boatPanel.querySelector('[data-boat-exit]').onclick=()=>exitBoat();return boatPanel;"
onclick,18-water-fishing-boats.js,startFishing,3713,11,"cast.onclick=()=>{if(!fishingSession||fishingSession.token!==token)return;cast.disabled=true;state.inventory.bait--;state.fishing.lastAttempt=Date.now();saveState(true);status.textContent='🎣 Aguarde…';meter.style.animation='fishingWait 2.4s linear forwards';castFishingVisual();const hookDelay=1400+Math.random()*1700;fishingSession.hookTimer=setTimeout(()=>{if(!fishingSession||fishingSession.token!==token||els.modal.hidden){cancelFishingSession();return;}status.textContent='⚡ Fisgou!';pull.hidden=false;hookFishingVisual();beep(880,100,'sine');vibrate([35,35,55]);fishingSession.hookedAt=performance.now();fishingSession.escapeTimer=setTimeout(()=>{if(!fishingSession||fishingSession.token!==token)return;status.textContent='💨 Escapou';pull.hidden=true;pullFishingVisual(false);fishingSession.finishTimer=setTimeout(()=>{if(fishingSession?.token===token)fishingSession=null;stopFishingVisual();},800);},2700);},hookDelay);};"
onclick,18-water-fishing-boats.js,startFishing,3714,11,"pull.onclick=()=>{if(!fishingSession||fishingSession.token!==token)return;clearTimeout(fishingSession.escapeTimer);const reaction=performance.now()-Number(fishingSession.hookedAt||performance.now()),success=reaction<2400&&Math.random()<.88;pull.hidden=true;if(!success){status.textContent='💨 Escapou';pullFishingVisual(false);saveState();fishingSession.finishTimer=setTimeout(()=>{if(fishingSession?.token===token)fishingSession=null;stopFishingVisual();},800);return;}const fish=weightedFish(),size=+(fish.min+Math.random()*(fish.max-fish.min)).toFixed(2),catchId=uid();state.inventory.rawFish=(state.inventory.rawFish||0)+1;state.fishing.catches.push({id:catchId,species:fish.name,size,rarity:fish.rarity,caughtAt:Date.now(),source,cooperative:!!options.cooperative});state.fishing.catches=state.fishing.catches.slice(-200);state.fishing.species[fish.name]=(state.fishing.species[fish.name]||0)+1;let xp=fish.xp,coins=fish.coins;if(options.cooperative&&options.requestId&&!state.fishing.cooperative"
onclick,19-campfire-hunting-house-extensions.js,openCampfire,3727,27,"$('[data-sit]',root).onclick=()=>{player.sitUntil=performance.now()+4500;state.needs.fun=clamp(state.needs.fun+8,0,100);closeModal();toast('Você descansou perto da fogueira.','good');};$('[data-eat]',root).onclick=()=>{if(state.inventory.cookedFish<1)return;state.inventory.cookedFish--;state.needs.hunger=clamp(state.needs.hunger+32,0,100);saveState(true);updateHUD();openCampfire(id);};$('[data-cook]',root).onclick=async()=>{if(!mine||data.cooking||state.inventory.rawFish<1)return;if(!(await confirmModal('Assar peixe','Usar 1 peixe cru nesta fogueira?','Assar','Cancelar')))return;state.inventory.rawFish--;const cookingId=uid();data.cooking={id:cookingId,startedAt:Date.now(),endsAt:Date.now()+5000,collected:false};saveState(true);window.OTTHOS_RTDB?.syncCampfires?.(state.campfires);toast('Peixe na grelha. Aguarde alguns segundos.','good');setTimeout(()=>finishCampfireCooking(data,cookingId),5100);};"
onclick,19-campfire-hunting-house-extensions.js,openCampfire,3727,212,"$('[data-sit]',root).onclick=()=>{player.sitUntil=performance.now()+4500;state.needs.fun=clamp(state.needs.fun+8,0,100);closeModal();toast('Você descansou perto da fogueira.','good');};$('[data-eat]',root).onclick=()=>{if(state.inventory.cookedFish<1)return;state.inventory.cookedFish--;state.needs.hunger=clamp(state.needs.hunger+32,0,100);saveState(true);updateHUD();openCampfire(id);};$('[data-cook]',root).onclick=async()=>{if(!mine||data.cooking||state.inventory.rawFish<1)return;if(!(await confirmModal('Assar peixe','Usar 1 peixe cru nesta fogueira?','Assar','Cancelar')))return;state.inventory.rawFish--;const cookingId=uid();data.cooking={id:cookingId,startedAt:Date.now(),endsAt:Date.now()+5000,collected:false};saveState(true);window.OTTHOS_RTDB?.syncCampfires?.(state.campfires);toast('Peixe na grelha. Aguarde alguns segundos.','good');setTimeout(()=>finishCampfireCooking(data,cookingId),5100);};"
onclick,19-campfire-hunting-house-extensions.js,openCampfire,3727,416,"$('[data-sit]',root).onclick=()=>{player.sitUntil=performance.now()+4500;state.needs.fun=clamp(state.needs.fun+8,0,100);closeModal();toast('Você descansou perto da fogueira.','good');};$('[data-eat]',root).onclick=()=>{if(state.inventory.cookedFish<1)return;state.inventory.cookedFish--;state.needs.hunger=clamp(state.needs.hunger+32,0,100);saveState(true);updateHUD();openCampfire(id);};$('[data-cook]',root).onclick=async()=>{if(!mine||data.cooking||state.inventory.rawFish<1)return;if(!(await confirmModal('Assar peixe','Usar 1 peixe cru nesta fogueira?','Assar','Cancelar')))return;state.inventory.rawFish--;const cookingId=uid();data.cooking={id:cookingId,startedAt:Date.now(),endsAt:Date.now()+5000,collected:false};saveState(true);window.OTTHOS_RTDB?.syncCampfires?.(state.campfires);toast('Peixe na grelha. Aguarde alguns segundos.','good');setTimeout(()=>finishCampfireCooking(data,cookingId),5100);};"
onclick,19-campfire-hunting-house-extensions.js,openCampfireZone,3730,373,"function openCampfireZone(){const c=nearestActiveCampfire(8);if(c)openCampfire(c.data.id);else openModal('Acampamento','<p>Esta é uma área segura para montar fogueira. Ela usa madeira real do inventário e apaga automaticamente.</p><div class=""modal-actions""><button class=""btn primary"" data-build-fire>Construir fogueira</button></div>',root=>$('[data-build-fire]',root).onclick=()=>{closeModal();buildCampfire();});}"
onclick,19-campfire-hunting-house-extensions.js,startHunting,3733,1286,"function startHunting(options={}){const cooldown=Math.max(0,20000-(Date.now()-Number(state.hunting.lastAttempt||0)));if(cooldown>0){toast(`A floresta precisa descansar por ${Math.ceil(cooldown/1000)} s.`,'warn');return;}if((()=>{const p=worldLayoutPoint('hunt',{x:-101,z:-78});return Math.hypot(player.x-p.x,player.z-p.z)>28;})()){toast('Siga as pegadas até a área de rastreamento.','warn');return;}state.hunting.lastAttempt=Date.now();state.hunting.tracksFound++;const trail=['Pegadas perto das pedras','Galhos mexidos à esquerda','Folhas amassadas perto da árvore'],correct=Math.floor(Math.random()*3);openModal(options.cooperative?'Rastreamento com amigo':'Rastreamento na floresta',`<div class=""activity-card hunting-card""><div class=""activity-icon"">🐾</div><h3>Encontre o caminho do animal</h3><p>${trail[correct]}. Qual direção você seguirá?</p><div class=""choice-grid""><button class=""choice"" data-track=""0""><b>⬅️ Esquerda</b><span>Seguir pistas</span></button><button class=""choice"" data-track="
onclick,19-campfire-hunting-house-extensions.js,openFurniturePlacement,3785,1563,"function openFurniturePlacement(extensionId,type,existingId=''){const record=world.houseExtensions.find(item=>item.data.id===extensionId);if(!record||record.data.remote){toast('Somente o dono pode mobiliar este cômodo.','warn');return;}const existing=(state.roomFurniture||[]).find(item=>item.id===existingId),spec=furnitureSpec(type||existing?.type,record.data.type);if(!spec)return;const first=existing?{...existing}:{id:'',extensionId,type:spec.id,slotIndex:-1,x:0,z:0,rotation:0,createdAt:Date.now()};furnitureDraft=existing?first:nextFurnitureSlot(record,first,1);renderFurniturePreview(record);const refresh=root=>{const valid=renderFurniturePreview(record),status=$('[data-furniture-status]',root);if(status){status.textContent=valid?'✓ Posição livre':'⚠ Escolha outra posição';status.className=`extension-status ${valid?'good':'bad'}`;}};openModal(existing?'Mover ou girar móvel':`Adicionar: ${spec.name}`,`<div class=""furniture-placement-card""><span>${spec.icon}</span><h3>${spec.name}</h3><"
onclick,19-campfire-hunting-house-extensions.js,openFurniturePlacement,3785,1684,"function openFurniturePlacement(extensionId,type,existingId=''){const record=world.houseExtensions.find(item=>item.data.id===extensionId);if(!record||record.data.remote){toast('Somente o dono pode mobiliar este cômodo.','warn');return;}const existing=(state.roomFurniture||[]).find(item=>item.id===existingId),spec=furnitureSpec(type||existing?.type,record.data.type);if(!spec)return;const first=existing?{...existing}:{id:'',extensionId,type:spec.id,slotIndex:-1,x:0,z:0,rotation:0,createdAt:Date.now()};furnitureDraft=existing?first:nextFurnitureSlot(record,first,1);renderFurniturePreview(record);const refresh=root=>{const valid=renderFurniturePreview(record),status=$('[data-furniture-status]',root);if(status){status.textContent=valid?'✓ Posição livre':'⚠ Escolha outra posição';status.className=`extension-status ${valid?'good':'bad'}`;}};openModal(existing?'Mover ou girar móvel':`Adicionar: ${spec.name}`,`<div class=""furniture-placement-card""><span>${spec.icon}</span><h3>${spec.name}</h3><"
