occurrence,module,functionBoundaryOwner,line,column,snippet
276,06-missions-profile-hud-inventory-tools.js,openPlayerNameModal,1386,1019,"openModal(required?'Escolha seu nome de jogador':'Nome do jogador',`<div class=""player-name-modal""><div class=""player-name-icon"">👤</div><p>${required?'Antes de entrar, escolha o nome que aparecerá para os outros jogadores.':'Este nome aparece sobre seu personagem no multiplayer.'}</p><label class=""field""><span>Nome público</span><input id=""playerNameInput"" maxlength=""18"" autocomplete=""nickname"" inputmode=""text"" value=""${current.replace(/""/g,'&quot;')}"" placeholder=""Ex.: Thiago""></label><small>De 3 a 18 caracteres. Não use telefone, endereço ou informação pessoal sensível.</small><button class=""btn primary xl"" data-save-player-name>Salvar nome</button></div>`,root=>{const input=$('#playerNameInput',root),save=$('[data-save-player-name]',root);setTimeout(()=>input?.focus(),80);const submit=()=>{if(!applyPlayerName(input?.value))return;closeModal();toast(`Nome definido: ${state.profile.name}`,'good',1600);if(typeof onSaved==='function')onSaved();};save.onclick=submit;input?.addEventListen"
277,06-missions-profile-hud-inventory-tools.js,updateHUD,1405,31,"needs.forEach(([key, el]) => el.style.width = `${clamp(state.needs[key], 0, 100)}%`);"
278,06-missions-profile-hud-inventory-tools.js,openInventory,1416,202,"</div><div class=""modal-actions""><button class=""btn primary"" data-open-tools>Ferramentas</button>${inv.cookedFish>0?'<button class=""btn"" data-eat-cooked>Comer peixe assado</button>':''}</div>`,root=>{$('[data-open-tools]',root)?.addEventListener('click',openToolbelt);$('[data-eat-cooked]',root)?.addEventListener('click',()=>{if((state.inventory.cookedFish||0)<1)return;state.inventory.cookedFish--;state.needs.hunger=clamp(state.needs.hunger+32,0,100);state.needs.energy=clamp(state.needs.energy+6,0,100);saveState(true);updateHUD();toast('Peixe assado consumido.','good');openInventory();});});"
279,06-missions-profile-hud-inventory-tools.js,openInventory,1416,329,"</div><div class=""modal-actions""><button class=""btn primary"" data-open-tools>Ferramentas</button>${inv.cookedFish>0?'<button class=""btn"" data-eat-cooked>Comer peixe assado</button>':''}</div>`,root=>{$('[data-open-tools]',root)?.addEventListener('click',openToolbelt);$('[data-eat-cooked]',root)?.addEventListener('click',()=>{if((state.inventory.cookedFish||0)<1)return;state.inventory.cookedFish--;state.needs.hunger=clamp(state.needs.hunger+32,0,100);state.needs.energy=clamp(state.needs.energy+6,0,100);saveState(true);updateHUD();toast('Peixe assado consumido.','good');openInventory();});});"
280,06-missions-profile-hud-inventory-tools.js,openToolbelt,1431,96,"openModal('Ferramentas',`<div class=""tool-grid"">${Object.entries(TOOL_DEFS).map(([id,tool])=>`<button class=""tool-card ${state.tools.equipped===id?'active':''}"" data-equip-tool=""${id}""><span>${tool.icon}</span><b>${tool.name}</b><small>${tool.description}</small><em>${state.tools.equipped===id?'Em uso':'Equipar'}</em></button>`).join('')}</div><div class=""resource-summary""><span>🪵 ${state.tools.harvested.wood||0}</span><span>🪨 ${state.tools.harvested.stone||0}</span><span>🟨 ${state.tools.harvested.gold||0}</span><span>💧 ${state.tools.harvested.water||0}</span><span>🪱 ${state.tools.harvested.bait||0}</span><span>🌾 ${state.tools.harvested.crops||0}</span><span>🟫 ${state.tools.harvested.clay||0}</span></div>`,root=>{$$('[data-equip-tool]',root).forEach(btn=>btn.onclick=()=>{equipTool(btn.dataset.equipTool);closeModal();});});"
281,06-missions-profile-hud-inventory-tools.js,openToolbelt,1431,725,"openModal('Ferramentas',`<div class=""tool-grid"">${Object.entries(TOOL_DEFS).map(([id,tool])=>`<button class=""tool-card ${state.tools.equipped===id?'active':''}"" data-equip-tool=""${id}""><span>${tool.icon}</span><b>${tool.name}</b><small>${tool.description}</small><em>${state.tools.equipped===id?'Em uso':'Equipar'}</em></button>`).join('')}</div><div class=""resource-summary""><span>🪵 ${state.tools.harvested.wood||0}</span><span>🪨 ${state.tools.harvested.stone||0}</span><span>🟨 ${state.tools.harvested.gold||0}</span><span>💧 ${state.tools.harvested.water||0}</span><span>🪱 ${state.tools.harvested.bait||0}</span><span>🌾 ${state.tools.harvested.crops||0}</span><span>🟫 ${state.tools.harvested.clay||0}</span></div>`,root=>{$$('[data-equip-tool]',root).forEach(btn=>btn.onclick=()=>{equipTool(btn.dataset.equipTool);closeModal();});});"
282,06-missions-profile-hud-inventory-tools.js,openToolbelt,1431,768,"openModal('Ferramentas',`<div class=""tool-grid"">${Object.entries(TOOL_DEFS).map(([id,tool])=>`<button class=""tool-card ${state.tools.equipped===id?'active':''}"" data-equip-tool=""${id}""><span>${tool.icon}</span><b>${tool.name}</b><small>${tool.description}</small><em>${state.tools.equipped===id?'Em uso':'Equipar'}</em></button>`).join('')}</div><div class=""resource-summary""><span>🪵 ${state.tools.harvested.wood||0}</span><span>🪨 ${state.tools.harvested.stone||0}</span><span>🟨 ${state.tools.harvested.gold||0}</span><span>💧 ${state.tools.harvested.water||0}</span><span>🪱 ${state.tools.harvested.bait||0}</span><span>🌾 ${state.tools.harvested.crops||0}</span><span>🟫 ${state.tools.harvested.clay||0}</span></div>`,root=>{$$('[data-equip-tool]',root).forEach(btn=>btn.onclick=()=>{equipTool(btn.dataset.equipTool);closeModal();});});"
283,06-missions-profile-hud-inventory-tools.js,openToolbelt,1431,784,"openModal('Ferramentas',`<div class=""tool-grid"">${Object.entries(TOOL_DEFS).map(([id,tool])=>`<button class=""tool-card ${state.tools.equipped===id?'active':''}"" data-equip-tool=""${id}""><span>${tool.icon}</span><b>${tool.name}</b><small>${tool.description}</small><em>${state.tools.equipped===id?'Em uso':'Equipar'}</em></button>`).join('')}</div><div class=""resource-summary""><span>🪵 ${state.tools.harvested.wood||0}</span><span>🪨 ${state.tools.harvested.stone||0}</span><span>🟨 ${state.tools.harvested.gold||0}</span><span>💧 ${state.tools.harvested.water||0}</span><span>🪱 ${state.tools.harvested.bait||0}</span><span>🌾 ${state.tools.harvested.crops||0}</span><span>🟫 ${state.tools.harvested.clay||0}</span></div>`,root=>{$$('[data-equip-tool]',root).forEach(btn=>btn.onclick=()=>{equipTool(btn.dataset.equipTool);closeModal();});});"
284,06-missions-profile-hud-inventory-tools.js,playToolAnimation,1451,57,const WORLD_MAP_ROADS=WORLD_LAYOUT_V704.roads.map(road=>({...road}));
285,06-missions-profile-hud-inventory-tools.js,playToolAnimation,1452,99,"const NAV_BASE_NODES=Object.fromEntries(Object.entries(WORLD_LAYOUT_V704.nodes).map(([id,point])=>[id,{...point}]));"
286,06-missions-profile-hud-inventory-tools.js,playToolAnimation,1453,56,const NAV_BASE_EDGES=WORLD_LAYOUT_V704.edges.map(edge=>[...edge]);
287,07-navigation-traffic-routes.js,pointOnRoad,1462,68,"function pointOnRoad(x,z,margin=.7){return WORLD_MAP_ROADS.some(r=>Math.abs(x-r.x)<=r.w/2+margin&&Math.abs(z-r.z)<=r.d/2+margin);}"
288,07-navigation-traffic-routes.js,graphShortest,1510,626,"function graphShortest(nodes,adj,startId,endId){const dist=new Map([[startId,0]]),prev=new Map(),open=new Set(nodes.keys());while(open.size){let current=null,best=Infinity;for(const id of open){const d=dist.get(id)??Infinity;if(d<best){best=d;current=id;}}if(current===null||current===endId)break;open.delete(current);for(const e of adj.get(current)||[]){if(!open.has(e.id))continue;const nd=best+e.w;if(nd<(dist.get(e.id)??Infinity)){dist.set(e.id,nd);prev.set(e.id,current);}}}if(!dist.has(endId))return[];const ids=[];let id=endId;while(id){ids.push(id);if(id===startId)break;id=prev.get(id);}return ids.reverse().map(id=>nodes.get(id));}"
289,07-navigation-traffic-routes.js,buildRoutePoints,1516,68,"const nodes=new Map(Object.entries(NAV_BASE_NODES).map(([id,p])=>[id,{...p}])),adj=new Map();"
290,07-navigation-traffic-routes.js,updateRouteGuide,1527,119,"function updateRouteGuide(force=false){if(!createRouteGuide())return;if(!state.waypoint){world.routeArrows.forEach(a=>a.visible=false);world.routePath=[];return;}const routeInfo=routeProgressInfo(world.routePath,player),offRoute=routeInfo.distance>7;if(force||!world.routePath.length||(offRoute&&performance.now()-world.routeLastBuild>1400)){world.routeLastBuild=performance.now();world.routePath=buildRoutePoints(player,state.waypoint);}const visibleRoute=remainingRoute(world.routePath,player),samples=sampleRoute(visibleRoute,3.15).filter((_,i)=>i>0).slice(0,world.routeArrows.length);world.routeArrows.forEach((arrow,i)=>{const p=samples[i];arrow.visible=!!p;if(!p)return;arrow.position.set(p.x,groundHeightAt(p.x,p.z)+.28,p.z);arrow.rotation.z=-p.angle;arrow.scale.setScalar(i<6?1.2:1);});}"
291,07-navigation-traffic-routes.js,updateRouteGuide,1527,550,"function updateRouteGuide(force=false){if(!createRouteGuide())return;if(!state.waypoint){world.routeArrows.forEach(a=>a.visible=false);world.routePath=[];return;}const routeInfo=routeProgressInfo(world.routePath,player),offRoute=routeInfo.distance>7;if(force||!world.routePath.length||(offRoute&&performance.now()-world.routeLastBuild>1400)){world.routeLastBuild=performance.now();world.routePath=buildRoutePoints(player,state.waypoint);}const visibleRoute=remainingRoute(world.routePath,player),samples=sampleRoute(visibleRoute,3.15).filter((_,i)=>i>0).slice(0,world.routeArrows.length);world.routeArrows.forEach((arrow,i)=>{const p=samples[i];arrow.visible=!!p;if(!p)return;arrow.position.set(p.x,groundHeightAt(p.x,p.z)+.28,p.z);arrow.rotation.z=-p.angle;arrow.scale.setScalar(i<6?1.2:1);});}"
292,07-navigation-traffic-routes.js,updateRouteGuide,1527,626,"function updateRouteGuide(force=false){if(!createRouteGuide())return;if(!state.waypoint){world.routeArrows.forEach(a=>a.visible=false);world.routePath=[];return;}const routeInfo=routeProgressInfo(world.routePath,player),offRoute=routeInfo.distance>7;if(force||!world.routePath.length||(offRoute&&performance.now()-world.routeLastBuild>1400)){world.routeLastBuild=performance.now();world.routePath=buildRoutePoints(player,state.waypoint);}const visibleRoute=remainingRoute(world.routePath,player),samples=sampleRoute(visibleRoute,3.15).filter((_,i)=>i>0).slice(0,world.routeArrows.length);world.routeArrows.forEach((arrow,i)=>{const p=samples[i];arrow.visible=!!p;if(!p)return;arrow.position.set(p.x,groundHeightAt(p.x,p.z)+.28,p.z);arrow.rotation.z=-p.angle;arrow.scale.setScalar(i<6?1.2:1);});}"
293,07-navigation-traffic-routes.js,drawMiniMap,1536,200,"if(state.waypoint&&world.routePath.length){const route=remainingRoute(world.routePath,player);ctx.strokeStyle='#38e9ff';ctx.lineWidth=6;ctx.setLineDash([10,6]);ctx.beginPath();route.forEach((p,i)=>{const q=miniPoint(p.x,p.z,scale,w,h);i?ctx.lineTo(q.x,q.y):ctx.moveTo(q.x,q.y);});ctx.stroke();ctx.setLineDash([]);const target=miniPoint(state.waypoint.navX??state.waypoint.x,state.waypoint.navZ??state.waypoint.z,scale,w,h);if(target.x>-12&&target.x<w+12&&target.y>-12&&target.y<h+12){ctx.fillStyle='#ffe33b';ctx.strokeStyle='#172738';ctx.lineWidth=2;ctx.beginPath();ctx.arc(target.x,target.y,7,0,Math.PI*2);ctx.fill();ctx.stroke();}}"
294,07-navigation-traffic-routes.js,routeSvgMarkup,1541,60,"function routeSvgMarkup(points){const mapped=points.map(p=>worldToMap(p.x,p.z));return `<svg class=""map-route"" viewBox=""0 0 100 100"" preserveAspectRatio=""none"" aria-hidden=""true""><polyline points=""${mapped.map(p=>`${p.left},${p.top}`).join(' ')}""/></svg>`;}"
295,07-navigation-traffic-routes.js,routeSvgMarkup,1541,214,"function routeSvgMarkup(points){const mapped=points.map(p=>worldToMap(p.x,p.z));return `<svg class=""map-route"" viewBox=""0 0 100 100"" preserveAspectRatio=""none"" aria-hidden=""true""><polyline points=""${mapped.map(p=>`${p.left},${p.top}`).join(' ')}""/></svg>`;}"
296,07-navigation-traffic-routes.js,routeSvgMarkup,1552,39,"const mapPointV704=(id,navOffsetZ=0)=>{const p=worldLayoutPoint(id);return{x:p.x,z:p.z,navX:p.x,navZ:p.z+navOffsetZ};};"
297,07-navigation-traffic-routes.js,routeSvgMarkup,1578,28,"...METRO_STATIONS.map(s=>({id:`metro-${s.id}`,name:s.name,icon:'Ⓜ️',x:s.x,z:s.z,navX:s.navX,navZ:s.navZ,group:'Transporte'})),"
298,08-map-parent-settings.js,missionMapLocations,1611,71,"const waypoint=state.waypoint;if(waypoint&&!MAP_LOCATIONS.some(loc=>loc.id===waypoint.id)&&!items.some(loc=>loc.id===waypoint.id)){const mission=!!job||/^(service-|assist-|fire-|delivery-)/.test(String(waypoint.id||''));items.push({id:waypoint.id,name:waypoint.name||'Destino da missão',icon:String(waypoint.icon||(/service-/.test(waypoint.id)?'🚨':/fire-/.test(waypoint.id)?'🔥':/assist-/.test(waypoint.id)?'⚠️':'📍')),group:mission?'Missão ativa':'Destino atual',x:Number(waypoint.x||0),z:Number(waypoint.z||0),navX:Number(waypoint.navX??waypoint.x??0),navZ:Number(waypoint.navZ??waypoint.z??0),missionTarget:mission,description:mission?'Este é o ponto exato exigido pela missão. A rota azul e as setas do mundo levam até ele.':'Destino atualmente marcado no GPS.',actions:['Seguir a rota azul','Observar as setas no chão']});}"
299,08-map-parent-settings.js,missionMapLocations,1611,111,"const waypoint=state.waypoint;if(waypoint&&!MAP_LOCATIONS.some(loc=>loc.id===waypoint.id)&&!items.some(loc=>loc.id===waypoint.id)){const mission=!!job||/^(service-|assist-|fire-|delivery-)/.test(String(waypoint.id||''));items.push({id:waypoint.id,name:waypoint.name||'Destino da missão',icon:String(waypoint.icon||(/service-/.test(waypoint.id)?'🚨':/fire-/.test(waypoint.id)?'🔥':/assist-/.test(waypoint.id)?'⚠️':'📍')),group:mission?'Missão ativa':'Destino atual',x:Number(waypoint.x||0),z:Number(waypoint.z||0),navX:Number(waypoint.navX??waypoint.x??0),navZ:Number(waypoint.navZ??waypoint.z??0),missionTarget:mission,description:mission?'Este é o ponto exato exigido pela missão. A rota azul e as setas do mundo levam até ele.':'Destino atualmente marcado no GPS.',actions:['Seguir a rota azul','Observar as setas no chão']});}"
300,08-map-parent-settings.js,onlinePlayerMapLocations,1614,142,"function onlinePlayerMapLocations(){const presence=window.OTTHOS_RTDB?.getPresence?.()||{};return Object.entries(presence).filter(([,item])=>item&&Number.isFinite(Number(item.x))&&Number.isFinite(Number(item.z))).map(([uid,item])=>({id:`online-${String(uid).replace(/[^A-Za-z0-9_-]/g,'').slice(0,48)}`,name:item.name||'Jogador online',icon:'👤',group:'Jogadores online',x:Number(item.x),z:Number(item.z),navX:Number(item.x),navZ:Number(item.z),description:'Posição individual sincronizada deste participante no bairro atual.',actions:['Marcar no GPS','Encontrar o participante voluntariamente']}));}"
301,08-map-parent-settings.js,onlinePlayerMapLocations,1614,232,"function onlinePlayerMapLocations(){const presence=window.OTTHOS_RTDB?.getPresence?.()||{};return Object.entries(presence).filter(([,item])=>item&&Number.isFinite(Number(item.x))&&Number.isFinite(Number(item.z))).map(([uid,item])=>({id:`online-${String(uid).replace(/[^A-Za-z0-9_-]/g,'').slice(0,48)}`,name:item.name||'Jogador online',icon:'👤',group:'Jogadores online',x:Number(item.x),z:Number(item.z),navX:Number(item.x),navZ:Number(item.z),description:'Posição individual sincronizada deste participante no bairro atual.',actions:['Marcar no GPS','Encontrar o participante voluntariamente']}));}"
302,08-map-parent-settings.js,mapMarkerPlacements,1629,43,"const points=locations.map((loc,index)=>{const pos=worldToMap(loc.navX??loc.x,loc.navZ??loc.z);return{loc,index,originLeft:pos.left,originTop:pos.top,left:clamp(pos.left,minLeft,maxLeft),top:clamp(pos.top,minTop,maxTop)};});"
303,08-map-parent-settings.js,mapMarkerPlacements,1630,59,"const separate=(a,b,requiredX,requiredY,pushBoth=true)=>{"
304,08-map-parent-settings.js,applyMapMarkerPlacements,1655,40,"placements.forEach(({loc,left,top})=>{"
305,08-map-parent-settings.js,mapVisualNodes,1671,38,"const x=group.reduce((sum,item)=>sum+Number(item.navX??item.x??0),0)/group.length,z=group.reduce((sum,item)=>sum+Number(item.navZ??item.z??0),0)/group.length,id=`map-cluster-${index++}`,node={id,name:`${group.length} locais`,icon:String(group.length),group:'Grupo de locais',x,z,navX:x,navZ:z,mapCluster:true,clusterItems:group,description:'Toque para escolher um dos locais agrupados nesta área.',actions:['Abrir o grupo','Escolher o destino']};mapClusterLookup[id]=node;nodes.push(node);"
306,08-map-parent-settings.js,mapVisualNodes,1671,114,"const x=group.reduce((sum,item)=>sum+Number(item.navX??item.x??0),0)/group.length,z=group.reduce((sum,item)=>sum+Number(item.navZ??item.z??0),0)/group.length,id=`map-cluster-${index++}`,node={id,name:`${group.length} locais`,icon:String(group.length),group:'Grupo de locais',x,z,navX:x,navZ:z,mapCluster:true,clusterItems:group,description:'Toque para escolher um dos locais agrupados nesta área.',actions:['Abrir o grupo','Escolher o destino']};mapClusterLookup[id]=node;nodes.push(node);"
307,08-map-parent-settings.js,mapClusterSelectionMarkup,1675,328,"function mapClusterSelectionMarkup(cluster){return`<div class=""map-selection detailed map-cluster-selection""><div class=""map-selection-title""><b>📍 ${cluster.clusterItems.length} locais próximos</b><span>Ícones agrupados para manter o mapa legível</span></div><div class=""map-cluster-options"">${cluster.clusterItems.sort((a,b)=>mapDistance(a)-mapDistance(b)).map(loc=>`<button data-cluster-location=""${loc.id}""><b>${loc.icon} ${loc.name}</b><span>${mapDistance(loc)} m</span></button>`).join('')}</div></div>`;}"
308,08-map-parent-settings.js,mapClusterSelectionMarkup,1675,368,"function mapClusterSelectionMarkup(cluster){return`<div class=""map-selection detailed map-cluster-selection""><div class=""map-selection-title""><b>📍 ${cluster.clusterItems.length} locais próximos</b><span>Ícones agrupados para manter o mapa legível</span></div><div class=""map-cluster-options"">${cluster.clusterItems.sort((a,b)=>mapDistance(a)-mapDistance(b)).map(loc=>`<button data-cluster-location=""${loc.id}""><b>${loc.icon} ${loc.name}</b><span>${mapDistance(loc)} m</span></button>`).join('')}</div></div>`;}"
309,08-map-parent-settings.js,mapSelectionMarkup,1677,131,"const cluster=mapClusterLookup[id];if(cluster)return mapClusterSelectionMarkup(cluster);const loc=currentMapLocations().find(x=>x.id===id);if(!loc)return'<div class=""map-selection empty""><b>Toque em um ícone</b><span>O nome aparecerá aqui antes de iniciar a rota.</span></div>';"
310,08-map-parent-settings.js,mapSelectionMarkup,1678,324,"const details=mapLocationDetails(loc),mission=loc.missionTarget?' mission-target':'';return`<div class=""map-selection detailed${mission}""><div class=""map-selection-title""><b>${loc.icon} ${loc.name}</b><span>${loc.group}</span></div><p>${details.description}</p><div class=""map-action-chips"">${details.actions.map(action=>`<i>${action}</i>`).join('')}</div><footer><span>${mapDistance(loc)} m de distância</span><button class=""btn primary compact"" data-route-selected=""${loc.id}"">Ir para este local</button></footer></div>`;"
311,08-map-parent-settings.js,setWaypoint,1681,45,const point=currentMapLocations().find(p=>p.id===id);if(!point)return;
312,08-map-parent-settings.js,openMap,1688,86,const mapLocations=currentMapLocations();if(!mapSelectedId||(!mapLocations.some(x=>x.id===mapSelectedId)&&!mapClusterLookup[mapSelectedId]))mapSelectedId=activeId||'home';
313,08-map-parent-settings.js,openMap,1690,50,"const markers=placements.map(({loc,left,top})=>{const active=loc.id===activeId?' active':'',selected=loc.id===mapSelectedId?' selected':'',mission=loc.missionTarget?' mission-target':'',cluster=loc.mapCluster?' cluster':'';return `<button class=""map-marker clean${active}${selected}${mission}${cluster}"" style=""left:${left.toFixed(2)}%;top:${top.toFixed(2)}%"" data-map-marker=""${loc.id}"" aria-label=""${loc.name}"" title=""${loc.name}""><b>${loc.mapCluster?loc.clusterItems.length:loc.icon}</b><span>${loc.name}</span></button>`;}).join('');"
314,08-map-parent-settings.js,openMap,1691,88,"const groupOrder=['Missão cooperativa','Missão ativa',...new Set(mapLocations.map(x=>x.group))],groups=[...new Set(groupOrder.filter(Boolean))];"
315,08-map-parent-settings.js,openMap,1692,35,"const grouped=groups.map(group=>{const list=mapLocations.filter(x=>x.group===group);if(!list.length)return'';const items=list.sort((a,b)=>mapDistance(a)-mapDistance(b)).map(loc=>`<button class=""map-destination ${loc.id===activeId?'active':''}"" data-map-list=""${loc.id}""><b>${loc.icon}<em>${loc.name}</em></b><span>${mapDistance(loc)} m</span></button>`).join('');return `<section class=""map-destination-group""><h4>${group}</h4><div>${items}</div></section>`;}).join('');"
316,08-map-parent-settings.js,openMap,1692,70,"const grouped=groups.map(group=>{const list=mapLocations.filter(x=>x.group===group);if(!list.length)return'';const items=list.sort((a,b)=>mapDistance(a)-mapDistance(b)).map(loc=>`<button class=""map-destination ${loc.id===activeId?'active':''}"" data-map-list=""${loc.id}""><b>${loc.icon}<em>${loc.name}</em></b><span>${mapDistance(loc)} m</span></button>`).join('');return `<section class=""map-destination-group""><h4>${group}</h4><div>${items}</div></section>`;}).join('');"
317,08-map-parent-settings.js,openMap,1692,141,"const grouped=groups.map(group=>{const list=mapLocations.filter(x=>x.group===group);if(!list.length)return'';const items=list.sort((a,b)=>mapDistance(a)-mapDistance(b)).map(loc=>`<button class=""map-destination ${loc.id===activeId?'active':''}"" data-map-list=""${loc.id}""><b>${loc.icon}<em>${loc.name}</em></b><span>${mapDistance(loc)} m</span></button>`).join('');return `<section class=""map-destination-group""><h4>${group}</h4><div>${items}</div></section>`;}).join('');"
318,08-map-parent-settings.js,openMap,1692,181,"const grouped=groups.map(group=>{const list=mapLocations.filter(x=>x.group===group);if(!list.length)return'';const items=list.sort((a,b)=>mapDistance(a)-mapDistance(b)).map(loc=>`<button class=""map-destination ${loc.id===activeId?'active':''}"" data-map-list=""${loc.id}""><b>${loc.icon}<em>${loc.name}</em></b><span>${mapDistance(loc)} m</span></button>`).join('');return `<section class=""map-destination-group""><h4>${group}</h4><div>${items}</div></section>`;}).join('');"
319,08-map-parent-settings.js,openMap,1694,882,"openModal('Mapa',`<div class=""map-layout v626 responsive-map""><div class=""map-main""><div class=""world-map clean-map""><i class=""map-road horizontal""></i><i class=""map-road vertical""></i><i class=""map-road west""></i><i class=""map-road east""></i><i class=""map-river""></i><div class=""map-region forest"">FLORESTA</div><div class=""map-region city"">VILA</div><div class=""map-region adventure"">AVENTURA</div>${window.OTTHI_ROOM_WORLD?.mapRegionsMarkup?.(worldToMap)||''}${route.length?routeSvgMarkup(route):''}${markers}<span class=""player-dot"" style=""left:${pp.left}%;top:${pp.top}%;--player-angle:${angleDeg}deg""><i></i><b>VOCÊ</b></span><span class=""map-north"">N</span></div></div><aside class=""map-sidebar"">${current}<div id=""mapSelection"">${mapSelectionMarkup(mapSelectedId)}</div><h3>Escolha um lugar</h3><div class=""map-destinations grouped"">${grouped}</div></aside></div>`,root=>{"
320,08-map-parent-settings.js,openMap,1696,32,"const fitMapToViewport=()=>{if(!map||!main)return;const portrait=matchMedia?.('(orientation: portrait)')?.matches??innerHeight>=innerWidth,body=$('.modal-body',els.modal),availableWidth=Math.max(220,main.clientWidth),availableHeight=portrait?Math.min(innerHeight*.55,availableWidth):Math.max(220,Math.min(main.clientHeight,body?.clientHeight||innerHeight*.75)),size=Math.floor(Math.min(availableWidth,availableHeight));map.style.setProperty('--map-size',`${size}px`);map.style.setProperty('width',`${size}px`,'important');map.style.setProperty('height',`${size}px`,'important');const rect=map.getBoundingClientRect();applyMapMarkerPlacements(root,mapMarkerPlacements(visualNodes,pp,rect.width,rect.height));};"
321,08-map-parent-settings.js,openMap,1697,25,"const bindRoute=()=>{$('[data-route-selected]',selection)?.addEventListener('click',e=>setWaypoint(e.currentTarget.dataset.routeSelected));$$('[data-cluster-location]',selection).forEach(btn=>btn.onclick=()=>selectMapLocation(btn.dataset.clusterLocation));};"
322,08-map-parent-settings.js,openMap,1697,92,"const bindRoute=()=>{$('[data-route-selected]',selection)?.addEventListener('click',e=>setWaypoint(e.currentTarget.dataset.routeSelected));$$('[data-cluster-location]',selection).forEach(btn=>btn.onclick=()=>selectMapLocation(btn.dataset.clusterLocation));};"
323,08-map-parent-settings.js,openMap,1697,197,"const bindRoute=()=>{$('[data-route-selected]',selection)?.addEventListener('click',e=>setWaypoint(e.currentTarget.dataset.routeSelected));$$('[data-cluster-location]',selection).forEach(btn=>btn.onclick=()=>selectMapLocation(btn.dataset.clusterLocation));};"
324,08-map-parent-settings.js,openMap,1697,213,"const bindRoute=()=>{$('[data-route-selected]',selection)?.addEventListener('click',e=>setWaypoint(e.currentTarget.dataset.routeSelected));$$('[data-cluster-location]',selection).forEach(btn=>btn.onclick=()=>selectMapLocation(btn.dataset.clusterLocation));};"
325,08-map-parent-settings.js,openMap,1698,33,"const selectMapLocation=id=>{mapSelectedId=id;$$('[data-map-marker]',root).forEach(x=>x.classList.toggle('selected',x.dataset.mapMarker===id));$$('[data-map-list]',root).forEach(x=>x.classList.toggle('selected',x.dataset.mapList===id));selection.innerHTML=mapSelectionMarkup(id);bindRoute();if(matchMedia?.('(orientation: portrait)')?.matches)selection.scrollIntoView?.({behavior:'smooth',block:'nearest'});};"
326,08-map-parent-settings.js,openMap,1698,91,"const selectMapLocation=id=>{mapSelectedId=id;$$('[data-map-marker]',root).forEach(x=>x.classList.toggle('selected',x.dataset.mapMarker===id));$$('[data-map-list]',root).forEach(x=>x.classList.toggle('selected',x.dataset.mapList===id));selection.innerHTML=mapSelectionMarkup(id);bindRoute();if(matchMedia?.('(orientation: portrait)')?.matches)selection.scrollIntoView?.({behavior:'smooth',block:'nearest'});};"
327,08-map-parent-settings.js,openMap,1698,186,"const selectMapLocation=id=>{mapSelectedId=id;$$('[data-map-marker]',root).forEach(x=>x.classList.toggle('selected',x.dataset.mapMarker===id));$$('[data-map-list]',root).forEach(x=>x.classList.toggle('selected',x.dataset.mapList===id));selection.innerHTML=mapSelectionMarkup(id);bindRoute();if(matchMedia?.('(orientation: portrait)')?.matches)selection.scrollIntoView?.({behavior:'smooth',block:'nearest'});};"
328,08-map-parent-settings.js,openMap,1699,118,"requestAnimationFrame(fitMapToViewport);setTimeout(fitMapToViewport,100);$$('[data-map-list]',root).forEach(btn=>btn.onclick=()=>selectMapLocation(btn.dataset.mapList));$$('[data-map-marker]',root).forEach(btn=>btn.onclick=()=>selectMapLocation(btn.dataset.mapMarker));$('[data-clear-waypoint]',root)?.addEventListener('click',clearWaypoint);bindRoute();"
329,08-map-parent-settings.js,openMap,1699,134,"requestAnimationFrame(fitMapToViewport);setTimeout(fitMapToViewport,100);$$('[data-map-list]',root).forEach(btn=>btn.onclick=()=>selectMapLocation(btn.dataset.mapList));$$('[data-map-marker]',root).forEach(btn=>btn.onclick=()=>selectMapLocation(btn.dataset.mapMarker));$('[data-clear-waypoint]',root)?.addEventListener('click',clearWaypoint);bindRoute();"
330,08-map-parent-settings.js,openMap,1699,216,"requestAnimationFrame(fitMapToViewport);setTimeout(fitMapToViewport,100);$$('[data-map-list]',root).forEach(btn=>btn.onclick=()=>selectMapLocation(btn.dataset.mapList));$$('[data-map-marker]',root).forEach(btn=>btn.onclick=()=>selectMapLocation(btn.dataset.mapMarker));$('[data-clear-waypoint]',root)?.addEventListener('click',clearWaypoint);bindRoute();"
331,08-map-parent-settings.js,openMap,1699,232,"requestAnimationFrame(fitMapToViewport);setTimeout(fitMapToViewport,100);$$('[data-map-list]',root).forEach(btn=>btn.onclick=()=>selectMapLocation(btn.dataset.mapList));$$('[data-map-marker]',root).forEach(btn=>btn.onclick=()=>selectMapLocation(btn.dataset.mapMarker));$('[data-clear-waypoint]',root)?.addEventListener('click',clearWaypoint);bindRoute();"
332,08-map-parent-settings.js,refreshOpenMapAfterResize,1703,168,"function refreshOpenMapAfterResize(){if(els.modal.hidden||!els.modal.classList.contains('map-modal'))return;clearTimeout(mapResizeTimer);mapResizeTimer=setTimeout(()=>{if(!els.modal.hidden&&els.modal.classList.contains('map-modal'))openMap();},180);}"
